12.00 1137.61 45.0
12.54 1174.34 42.1
13.07 1209.87 34.0
13.61 1244.19 44.0
14.15 1277.31 48.0
14.68 1309.21 35.0
15.22 1339.93 25.0
15.76 1369.39 35.0
16.29 1397.67 41.0
16.83 1424.74 42.0
17.37 1450.61 45.0
17.90 1475.25 35.0
18.44 1498.69 45.0
18.98 1520.90 45.0
19.51 1541.94 45.0
20.05 1561.75 45.0
20.58 1580.35 35.0
21.12 1597.72 25.0
21.66 1613.93 15.0
22.21 1628.91 45.0
22.73 1642.67 35.0
23.27 1655.22 25.0
23.80 1666.57 41.0
24.34 1676.71 42.0
24.88 1685.63 45.0
25.41 1693.35 45.0
25.95 1699.92 45.0
26.48 1705.16 45.0
27.02 1709.25 45.0 
27.56 1712.14 45.0
28.11 1713.81 45.0
28.63 1714.27 45.0
29.17 1713.48 45.0
29.71 1711.57 45.0
30.24 1708.41 45.0
30.78 1704.04 45.0
31.32 1698.45 45.0
31.85 1691.66 45.0
32.39 1683.66 45.0
32.93 1674.44 25.0
33.46 1664.02 45.0
34.00 1652.40 15.0
